para_id,sent_id,sentence,label
P002000,P002000_S000,The strategy behind the formation of the Warsaw Pact was driven by the desire of the Soviet Union to dominate Central and Eastern Europe.,1
P002000,P002000_S001,This policy was driven by ideological and geostrategic reasons.,0
P002000,P002000_S002,"Ideologically, the Soviet Union arrogated the right to define socialism and communism and act as the leader of the global socialist movement.",0
P002000,P002000_S003,"A corollary to this idea was the necessity of intervention if a country appeared to be violating core socialist ideas and Communist Party functions, which was explicitly stated in the Brezhnev Doctrine.",0
P002000,P002000_S004,Geostrategic principles also drove the Soviet Union to prevent invasion of its territory by Western European powers.,0
P002001,P002001_S000,"Before creation of Warsaw Pact, fearing Germany rearmed, Czechoslovak leadership sought to create security pact with East Germany and Poland.",1
P002001,P002001_S001,These states protested strongly against re-militarization of West Germany.,0
P002001,P002001_S002,The Warsaw Pact was primarily put in place as a consequence of the rearming of West Germany inside NATO.,0
P002001,P002001_S003,"Soviet leaders, as many European countries in both western and eastern side, feared Germany being once again a military power as a direct threat and German militarism remained a fresh memory among Soviets and Eastern Europeans.",0
P002001,P002001_S004,"As Soviet Union had already bilateral treaties with all of its eastern satellites, the Pact has been long considered 'superfluous', and because of the rushed way in which it was conceived, NATO officials labeled it as a 'cardboard castle'.",0
P002001,P002001_S005,"Previously, in March 1954, the USSR, fearing the restoration of German Militarism in West Germany, requested admission to NATO.",0
P002002,P002002_S000,The Soviet request to join NATO arose in the aftermath of the Berlin Conference of January–February 1954.,1
P002002,P002002_S001,"Soviet foreign minister Molotov made proposals to have Germany reunified and elections for a pan-German government, under conditions of withdrawal of the four powers armies and German neutrality, but all were refused by the other foreign ministers, Dulles (USA), Eden (UK) and Bidault (France).",1
P002002,P002002_S002,"Proposals for the reunification of Germany were nothing new: earlier on 20 March 1952, talks about a German reunification, initiated by the socalled 'Stalin Note', ended after the United Kingdom, France, and the United States insisted that a unified Germany should not be neutral and should be free to join the European Defence Community and rearm.",1
P002002,P002002_S003,"James Dunn (USA), who met in Paris with Eden, Adenauer and Robert Schuman (France), affirmed that ""the object should be to avoid discussion with the Russians and to press on the European Defense Community"".",0
P002002,P002002_S004,"According to John Gaddis ""there was little inclination in Western capitals to explore this offer"" from USSR.",0
P002002,P002002_S005,"While historian Rolf Steininger asserts that Adenauer's conviction that “neutralization means sovietization” was the main factor in the rejection of the soviet proposals, Adenauer also feared that unification might have resulted in the end of the CDU's dominance in the Bundestag.",0
P002003,P002003_S000,"One month later, the proposed European Treaty was rejected not only by supporters of the EDC but also by western opponents of the European Defense Community (like French Gaullist leader Palewski) who perceived it as ""unacceptable in its present form because it excludes the USA from participation in the collective security system in Europe"".",1
P002003,P002003_S001,"The Soviets then decided to make a new proposal to the governments of the USA, UK and France stating to accept the participation of the USA in the proposed General European Agreement.",1
P002003,P002003_S002,"And considering that another argument deployed against the Soviet proposal was that it was perceived by western powers as ""directed against the North Atlantic Pact and its liquidation"", the Soviets decided to declare their ""readiness to examine jointly with other interested parties the question of the participation of the USSR in the North Atlantic bloc"", specifying that ""the admittance of the USA into the General European Agreement should not be conditional on the three western powers agreeing to the USSR joining the North Atlantic Pact"".",1
P002004,P002004_S000,"Again all proposals, including the request to join NATO, were rejected by UK, US, and French governments shortly after.",1
P002004,P002004_S001,"Emblematic was the position of British General Hastings Ismay, supporter of NATO expansion, who said that NATO ""must grow until the whole free world gets under one umbrella.""",1
P002004,P002004_S002,"He opposed the request to join NATO made by the USSR in 1954 saying that ""the Soviet request to join NATO is like an unrepentant burglar requesting to join the police force"".",1
P002005,P002005_S000,"In April 1954 Adenauer made his first visit to the USA meeting Nixon, Eisenhower and Dulles.",1
P002005,P002005_S001,Ratification of EDC was delaying but the US representatives made it clear to Adenauer that EDC would have to become a part of NATO.,1
P002006,P002006_S000,"Memories of the Nazi occupation were still strong, and the rearmament of Germany was feared by France too.",1
P002006,P002006_S001,"On 30 August 1954 French Parliament rejected the EDC, thus ensuring its failure and blocking a major objective of US policy towards Europe: to associate Germany militarily with the West.",1
P002006,P002006_S002,"The US Department of State started to elaborate alternatives: Germany would be invited to join NATO or, in the case of French obstructionism, strategies to circumvent a French veto would be implemented in order to obtain a German rearmament outside NATO.",1
P002007,P002007_S000,"On 23 October 1954 – only nine years after Allies (UK, USA and USSR) defeated Nazi Germany ending World War II in Europe – the admission of the Federal Republic of Germany to the North Atlantic Pact was finally decided.",1
P002007,P002007_S001,"The incorporation of West Germany into the organization on 9 May 1955 was described as ""a decisive turning point in the history of our continent"" by Halvard Lange, Foreign Affairs Minister of Norway at the time.",1
P002007,P002007_S002,"In November 1954, the USSR requested a new European Security Treaty, in order to make a final attempt to not have a remilitarized West Germany potentially opposed to the Soviet Union, with no success.",1
P002008,P002008_S000,"On 14 May 1955, the USSR and other seven European countries ""reaffirming their desire for the establishment of a system of European collective security based on the participation of all European states irrespective of their social and political systems"" established the Warsaw Pact in response to the integration of the Federal Republic of Germany into NATO, declaring that: ""a remilitarized Western Germany and the integration of the latter in the North-Atlantic bloc [...] increase the danger of another war and constitutes a threat to the national security of the peaceable states; [...] in these circumstances the peaceable European states must take the necessary measures to safeguard their security"".",1
P002009,P002009_S000,"One of the founding members, East Germany was allowed to re-arm by the Soviet Union and the National People's Army was established as the armed forces of the country to counter the rearmament of West Germany.",1
P002010,P002010_S000,The eight member countries of the Warsaw Pact pledged the mutual defense of any member who would be attacked.,1
P002010,P002010_S001,"Relations among the treaty signatories were based upon mutual non-intervention in the internal affairs of the member countries, respect for national sovereignty, and political independence.",1
P002010,P002010_S002,"However, almost all governments of those member states were indirectly controlled by the Soviet Union.",0
P002011,P002011_S000,In July 1963 the Mongolian People's Republic asked to join the Warsaw Pact under Article 9 of the treaty.,1
P002011,P002011_S001,For this purpose a special protocol should have been taken since the text of the treaty applied only to Europe.,1
P002011,P002011_S002,"Due to the emerging Sino-Soviet split, Mongolia remained on observer status.",1
P002011,P002011_S003,Soviet stationing troops were agreed to stay in Mongolia from 1966.,0
P002012,P002012_S000,"For 36 years, NATO and the Warsaw Pact never directly waged war against each other in Europe; the United States and the Soviet Union and their respective allies implemented strategic policies aimed at the containment of each other in Europe, while working and fighting for influence within the wider Cold War on the international stage.",1
P002013,P002013_S000,"In 1956, following the declaration of the Imre Nagy government of withdrawal of Hungary from the Warsaw Pact, Soviet troops entered the country and removed the government.",1
P002013,P002013_S001,"Soviet forces crushed the nationwide revolt, leading to the death of an estimated 2,500 Hungarian citizens.",1
P002014,P002014_S000,The multi-national Communist armed forces' sole joint action was the Warsaw Pact invasion of Czechoslovakia in August 1968.,1
P002014,P002014_S001,"All member countries, with the exception of the Socialist Republic of Romania and the People's Republic of Albania participated in the invasion.",1
P002015,P002015_S000,"On 25 February 1991, the Warsaw Pact was declared disbanded at a meeting of defense and foreign ministers from remaining Pact countries meeting in Hungary.",1
P002015,P002015_S001,"On 1 July 1991, in Prague, the Czechoslovak President Václav Havel formally ended the 1955 Warsaw Treaty Organization of Friendship, Cooperation, and Mutual Assistance and so disestablished the Warsaw Treaty after 36 years of military alliance with the USSR.",1
P002015,P002015_S002,"In fact, the treaty was de facto disbanded in December 1989 during the violent revolution in Romania, which toppled the communist government, without military intervention form other member states.",1
P002015,P002015_S003,The USSR disestablished itself in December 1991.,0
P002016,P002016_S000,"On 12 March 1999, the Czech Republic, Hungary, and Poland joined NATO; Bulgaria, Estonia, Latvia, Lithuania, Romania, and Slovakia joined in March 2004; Albania joined on 1 April 2009.",1
P002017,P002017_S000,"In November 2005, the Polish government opened its Warsaw Treaty archives to the Institute of National Remembrance, who published some 1,300 declassified documents in January 2006.",1
P002017,P002017_S001,"Yet the Polish government reserved publication of 100 documents, pending their military declassification.",0
P002017,P002017_S002,"Eventually, 30 of the reserved 100 documents were published; 70 remained secret, and unpublished.",0
P002017,P002017_S003,"Among the documents published is the Warsaw Treaty's nuclear war plan, Seven Days to the River Rhine – a short, swift counter-attack capturing Austria, Denmark, Germany and Netherlands east of River Rhine, using nuclear weapons, in self-defense, after a NATO first strike.",1
P002017,P002017_S004,"The plan originated as a 1979 field training exercise war game, and metamorphosed into official Warsaw Treaty battle doctrine, until the late 1980s – which is why the People's Republic of Poland was a nuclear weapons base, first, to 178, then, to 250 tactical-range rockets.",0
P002017,P002017_S005,"Doctrinally, as a Soviet-style (offensive) battle plan, Seven Days to the River Rhine gave commanders few defensive-war strategies for fighting NATO in Warsaw Treaty territory.",1
P002017,P002017_S006,[citation needed],0
P002018,P002018_S000,"Consequently, Molotov, fearing that EDC would be directed in the future against the USSR therefore ""seeking to prevent the formation of groups of European States directed against other European States"", made a proposal for a General European Treaty on Collective Security in Europe ""open to all European States without regard as to their social systems"" which would have included the unified Germany (thus making the EDC – perceived by the USSR as a threat – unusable).",1
P002018,P002018_S001,"But Eden, Dulles and Bidault opposed the proposal.",0
P002019,P002019_S000,"Materialism is a form of philosophical monism which holds that matter is the fundamental substance in nature, and that all phenomena, including mental phenomena and consciousness, are identical with material interactions.",1
P002020,P002020_S000,"Materialism is closely related to physicalism, the view that all that exists is ultimately physical.",0
P002020,P002020_S001,"Philosophical physicalism has evolved from materialism with the discoveries of the physical sciences to incorporate more sophisticated notions of physicality than mere ordinary matter, such as: spacetime, physical energies and forces, dark matter, and so on.",1
P002020,P002020_S002,"Thus the term ""physicalism"" is preferred over ""materialism"" by some, while others use the terms as if they are synonymous.",1
P002021,P002021_S000,Materialism belongs to the class of monist ontology.,1
P002021,P002021_S001,"As such, it is different from ontological theories based on dualism or pluralism.",1
P002021,P002021_S002,"For singular explanations of the phenomenal reality, materialism would be in contrast to idealism, neutral monism, and spiritualism.",0
P002022,P002022_S000,"Despite the large number of philosophical schools and subtle nuances between many, all philosophies are said to fall into one of two primary categories, which are defined in contrast to each other: Idealism, and materialism.",1
P002022,P002022_S001,"[a] The basic proposition of these two categories pertains to the nature of reality, and the primary distinction between them is the way they answer two fundamental questions: ""what does reality consist of?""",1
P002022,P002022_S002,"and ""how does it originate?""",0
P002022,P002022_S003,"To idealists, spirit or mind or the objects of mind (ideas) are primary, and matter secondary.",0
P002022,P002022_S004,"To materialists, matter is primary, and mind or spirit or ideas are secondary, the product of matter acting upon matter.",0
P002023,P002023_S000,"The materialist view is perhaps best understood in its opposition to the doctrines of immaterial substance applied to the mind historically, famously by René Descartes.",1
P002023,P002023_S001,"However, by itself materialism says nothing about how material substance should be characterized.",0
P002023,P002023_S002,"In practice, it is frequently assimilated to one variety of physicalism or another.",0
P002024,P002024_S000,"During the 19th century, Karl Marx and Friedrich Engels extended the concept of materialism to elaborate a materialist conception of history centered on the roughly empirical world of human activity (practice, including labor) and the institutions created, reproduced, or destroyed by that activity (see materialist conception of history).",1
P002024,P002024_S001,Later Marxists developed the notion of dialectical materialism which characterized later Marxist philosophy and method.,0
P002025,P002025_S000,"Materialism developed, possibly independently, in several geographically separated regions of Eurasia during what Karl Jaspers termed the Axial Age (approximately 800 to 200 BC).",1
P002026,P002026_S000,"In Ancient Indian philosophy, materialism developed around 600 BC with the works of Ajita Kesakambali, Payasi, Kanada, and the proponents of the Cārvāka school of philosophy.",1
P002026,P002026_S001,Kanada became one of the early proponents of atomism.,0
P002026,P002026_S002,"The Nyaya–Vaisesika school (600 BC - 100 BC) developed one of the earliest forms of atomism, though their proofs of God and their positing that the consciousness was not material precludes labelling them as materialists.",1
P002026,P002026_S003,Buddhist atomism and the Jaina school continued the atomic tradition.,0
P002027,P002027_S000,"Materialism is often associated with reductionism, according to which the objects or phenomena individuated at one level of description, if they are genuine, must be explicable in terms of the objects or phenomena at some other level of description — typically, at a more reduced level.",1
P002027,P002027_S001,"Non-reductive materialism explicitly rejects this notion, however, taking the material constitution of all particulars to be consistent with the existence of real objects, properties, or phenomena not explicable in the terms canonically used for the basic material constituents.",1
P002027,P002027_S002,"Jerry Fodor influentially argues this view, according to which empirical laws and explanations in ""special sciences"" like psychology or geology are invisible from the perspective of basic physics.",1
P002027,P002027_S003,A lot of vigorous literature has grown up around the relation between these views.,0
P002028,P002028_S000,"Ancient Greek philosophers like Thales, Anaxagoras (ca.",1
P002028,P002028_S001,"500 BC – 428 BC), Epicurus and Democritus prefigure later materialists.",0
P002028,P002028_S002,The Latin poem De Rerum Natura by Lucretius (ca.,1
P002028,P002028_S003,99 BC – ca.,0
P002028,P002028_S004,55 BC) reflects the mechanistic philosophy of Democritus and Epicurus.,0
P002028,P002028_S005,"According to this view, all that exists is matter and void, and all phenomena result from different motions and conglomerations of base material particles called ""atoms"" (literally: ""indivisibles"").",0
P002028,P002028_S006,"De Rerum Natura provides mechanistic explanations for phenomena such as erosion, evaporation, wind, and sound.",0
P002028,P002028_S007,"Famous principles like ""nothing can touch body but body"" first appeared in the works of Lucretius.",0
P002028,P002028_S008,Democritus and Epicurus however did not hold to a monist ontology since they held to the ontological separation of matter and space i.e.,0
P002028,P002028_S009,"space being ""another kind"" of being, indicating that the definition of ""materialism"" is wider than given scope for in this article.",0
P002029,P002029_S000,"Later Indian materialist Jayaraashi Bhatta (6th century) in his work Tattvopaplavasimha (""The upsetting of all principles"") refuted the Nyaya Sutra epistemology.",1
P002029,P002029_S001,The materialistic Cārvāka philosophy appears to have died out some time after 1400.,0
P002029,P002029_S002,"When Madhavacharya compiled Sarva-darśana-samgraha (a digest of all philosophies) in the 14th century, he had no Cārvāka/Lokāyata text to quote from, or even refer to.",1
P002030,P002030_S000,"In early 12th-century al-Andalus, the Arabian philosopher, Ibn Tufail (Abubacer), wrote discussions on materialism in his philosophical novel, Hayy ibn Yaqdhan (Philosophus Autodidactus), while vaguely foreshadowing the idea of a historical materialism.",1
P002031,P002031_S000,The French cleric Pierre Gassendi (1592-1665) represented the materialist tradition in opposition to the attempts of René Descartes (1596-1650) to provide the natural sciences with dualist foundations.,1
P002031,P002031_S001,"There followed the materialist and atheist abbé Jean Meslier (1664-1729), Julien Offray de La Mettrie, the German-French Paul-Henri Thiry Baron d'Holbach (1723-1789), the Encyclopedist Denis Diderot (1713-1784), and other French Enlightenment thinkers; as well as (in England) John ""Walking"" Stewart (1747-1822), whose insistence in seeing matter as endowed with a moral dimension had a major impact on the philosophical poetry of William Wordsworth (1770-1850).",1
P002032,P002032_S000,"Arthur Schopenhauer (1788-1860) wrote that ""...materialism is the philosophy of the subject who forgets to take account of himself"".",1
P002032,P002032_S001,He claimed that an observing subject can only know material objects through the mediation of the brain and its particular organization.,0
P002032,P002032_S002,"That is, the brain itself is the ""determiner"" of how material objects will be experienced or perceived:",0
P002033,P002033_S000,"The German materialist and atheist anthropologist Ludwig Feuerbach would signal a new turn in materialism through his book, The Essence of Christianity (1841), which provided a humanist account of religion as the outward projection of man's inward nature.",1
P002033,P002033_S001,Feuerbach's materialism would later heavily influence Karl Marx.,0
P002034,P002034_S000,"Many current and recent philosophers—e.g., Daniel Dennett, Willard Van Orman Quine, Donald Davidson, and Jerry Fodor—operate within a broadly physicalist or materialist framework, producing rival accounts of how best to accommodate mind, including functionalism, anomalous monism, identity theory, and so on.",1
P002035,P002035_S000,The nature and definition of matter - like other key concepts in science and philosophy - have occasioned much debate.,0
P002035,P002035_S001,"Is there a single kind of matter (hyle) which everything is made of, or multiple kinds?",0
P002035,P002035_S002,"Is matter a continuous substance capable of expressing multiple forms (hylomorphism), or a number of discrete, unchanging constituents (atomism)?",0
P002035,P002035_S003,"Does it have intrinsic properties (substance theory), or is it lacking them (prima materia)?",0
P002036,P002036_S000,"One challenge to the traditional concept of matter as tangible ""stuff"" came with the rise of field physics in the 19th century.",1
P002036,P002036_S001,Relativity shows that matter and energy (including the spatially distributed energy of fields) are interchangeable.,0
P002036,P002036_S002,This enables the ontological view that energy is prima materia and matter is one of its forms.,0
P002036,P002036_S003,"On the other hand, the Standard Model of Particle physics uses quantum field theory to describe all interactions.",1
P002036,P002036_S004,On this view it could be said that fields are prima materia and the energy is a property of the field.,0
P002037,P002037_S000,"According to the dominant cosmological model, the Lambda-CDM model, less than 5% of the universe's energy density is made up of the ""matter"" described by the Standard Model of Particle Physics, and the majority of the universe is composed of dark matter and dark energy - with little agreement amongst scientists about what these are made of.",1
P002038,P002038_S000,"With the advent of quantum physics, some scientists believed the concept of matter had merely changed, while others believed the conventional position could no longer be maintained.",1
P002038,P002038_S001,"For instance Werner Heisenberg said ""The ontology of materialism rested upon the illusion that the kind of existence, the direct 'actuality' of the world around us, can be extrapolated into the atomic range.",1
P002038,P002038_S002,"This extrapolation, however, is impossible... atoms are not things.""",0
P002038,P002038_S003,"Likewise, some philosophers[which?]",0
P002038,P002038_S004,feel that these dichotomies necessitate a switch from materialism to physicalism.,0
P002038,P002038_S005,"Others use the terms ""materialism"" and ""physicalism"" interchangeably.",0
P002039,P002039_S000,"Some modern day physicists and science writers—such as Paul Davies and John Gribbin—have argued that materialism has been disproven by certain scientific findings in physics, such as quantum mechanics and chaos theory.",1
P002039,P002039_S001,"In 1991, Gribbin and Davies released their book The Matter Myth, the first chapter of which, ""The Death of Materialism"", contained the following passage:",1
P002040,P002040_S000,Davies' and Gribbin's objections are shared by proponents of digital physics who view information rather than matter to be fundamental.,1
P002040,P002040_S001,"Their objections were also shared by some founders of quantum theory, such as Max Planck, who wrote:",1
P002041,P002041_S000,"According to the Catholic Encyclopedia of 1907-1912, materialism, defined as ""a philosophical system which regards matter as the only reality in the world [...] denies the existence of God and the soul"".",1
P002041,P002041_S001,"Materialism, in this view, therefore becomes incompatible with most world religions, including Christianity, Judaism, and Islam.",0
P002041,P002041_S002,In such a context one can conflate materialism with atheism.,0
P002041,P002041_S003,"Most of Hinduism and transcendentalism regards all matter as an illusion called Maya, blinding humans from knowing ""the truth"".",0
