feature,coefficient
bert_surprisal_std,1.078778259693789
bert_surprisal_var,-0.8390398001169339
sentence_position,-0.8221049035166079
gpt2_surprisal_var,-0.6912946368226601
gpt2_surprisal_sum,0.6717965290147596
sentence_length_words,-0.4491711627494813
noun_ratio,0.39280249506670145
gpt2_surprisal_mean,-0.3743733691257468
gpt2_surprisal_std,0.34063372690292
sentence_position_norm,0.24551116083246094
bert_surprisal_mean,-0.23516532808097537
lexical_density,-0.22364317346268722
gpt2_surprisal_max,0.20883945018270217
named_entity_density,0.20591619094644034
pronoun_ratio,0.18740685740392954
avg_word_length,-0.12548610503258312
bert_surprisal_sum,-0.11840388350825494
contrast_marker_ratio,-0.10931360192024911
gpt2_surprisal_min,0.09456861705809752
verb_ratio,0.07497907389155302
